movie,gross,release_date
Barbie,636225983,2023-07-21
The Super Mario Bros. Movie,574934330,2023-04-05
Spider-Man: Across the Spider-Verse,381311319,2023-06-02
Guardians of the Galaxy Vol. 3,358995815,2023-05-05
Oppenheimer,326101370,2023-07-21
The Little Mermaid,298172056,2023-05-26
Avatar: The Way of Water,283067859,2023-12-16
Ant-Man and the Wasp: Quantumania,214504909,2023-02-17
John Wick: Chapter 4,187131806,2023-03-24
Sound of Freedom,184177725,2023-07-04
Taylor Swift: The Eras Tour,179817571,2023-10-13
Indiana Jones and the Dial of Destiny,174480468,2023-06-30
Mission: Impossible - Dead Reckoning Part One,172135383,2023-07-12
The Hunger Games: The Ballad of Songbirds & Snakes,159719625,2023-11-17
Transformers: Rise of the Beasts,157066392,2023-06-09
Creed III,156248615,2023-03-03
Elemental,154426697,2023-06-16
Fast X,146126015,2023-05-19
Five Nights at Freddy's,137275620,2023-10-27
Wonka,133129902,2023-12-15
Puss in Boots: The Last Wish,130425380,2023-12-21
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,2023-08-02
Scream VI,108161389,2023-03-10
The Flash,108133313,2023-06-16
Trolls Band Together,96370205,2023-11-17
M3GAN,95159005,2023-01-06
Dungeons & Dragons: Honor Among Thieves,93277026,2023-03-31
The Equalizer 3,92373751,2023-09-01
The Nun II,86267073,2023-09-08
The Marvels,84479155,2023-11-10
Meg 2: The Trench,82600317,2023-08-04
Insidious: The Red Door,82156962,2023-07-07
Aquaman and the Lost Kingdom,76469713,2023-12-22
Blue Beetle,72488072,2023-08-18
Haunted Mansion,67653287,2023-07-28
Killers of the Flower Moon,67292161,2023-10-20
Evil Dead Rise,67233054,2023-04-21
The Exorcist: Believer,65537395,2023-10-06
PAW Patrol: The Mighty Movie,65231360,2023-09-29
Cocaine Bear,64670240,2023-02-24
A Man Called Otto,64228358,2023-12-30
Wish,60609147,2023-11-22
Napoleon,60512228,2023-11-22
Shazam! Fury of the Gods,57638006,2023-03-17
Migration,54103955,2023-12-22
Saw X,53607898,2023-09-29
Air,52460106,2023-04-05
Jesus Revolution,52102987,2023-02-24
No Hard Feelings,50452282,2023-06-23
Talk to Me,48299436,2023-07-28
Godzilla Minus One,45580412,2023-12-01
Gran Turismo,44428554,2023-08-25
The Color Purple,44047642,2023-12-25
The Boogeyman,43244282,2023-06-02
A Haunting in Venice,42471412,2023-09-15
The Creator,40774679,2023-09-29
80 for Brady,39330588,2023-02-03
The Boy and the Heron,35846555,2023-12-08
Knock at the Cabin,35397980,2023-02-03
Renaissance: A Film by Beyoncé,33223373,2023-12-01
Missing,32502025,2023-01-20
Plane,32111181,2023-01-13
65,32062904,2023-03-10
Thanksgiving,31800773,2023-11-17
My Big Fat Greek Wedding 3,28496030,2023-09-08
Asteroid City,28153025,2023-06-16
Magic Mike's Last Dance,26005156,2023-02-10
Anyone But You,24837385,2023-12-22
Strays,23988885,2023-08-18
The Boys in the Boat,21998472,2023-12-25
Priscilla,20900492,2023-10-27
"Are You There God? It's Me, Margaret.",20372406,2023-04-28
The Pope's Exorcist,20009380,2023-04-14
The Holdovers,18208655,2023-10-27
The Blackening,17707207,2023-06-16
Book Club: The Next Chapter,17581565,2023-05-12
Pathaan,17487476,2023-01-25
Black Panther: Wakanda Forever,17329414,2023-11-11
Renfield,17297895,2023-04-14
The Blind,17265487,2023-09-28
The Covenant,16938039,2023-04-21
The Expendables 4,16710153,2023-09-22
Champions,16397335,2023-03-10
The Iron Claw,15964922,2023-12-22
Ruby Gillman: Teenage Kraken,15753600,2023-06-30
Jawan,15198530,2023-09-07
Titanic25 Year Anniversary,15033795,2023-02-10
Animal,14772820,2023-12-01
Dumb Money,13925356,2023-09-15
The Last Voyage of the Demeter,13637180,2023-08-11
Joy Ride,12897789,2023-07-07
His Only Son,12392740,2023-03-31
The Whale,12129434,2023-12-09
About My Father,12089391,2023-05-26
Bottoms,12036071,2023-08-25
The Shift,11925234,2023-12-01
After Death,11477621,2023-10-27
Saltburn,11256512,2023-11-17
Past Lives,11031696,2023-06-02
Suzume,10932037,2023-04-14
Ferrari,10778480,2023-12-25
The Machine,10458331,2023-05-26
Whitney Houston: I Wanna Dance with Somebody,10451167,2023-12-23
Poor Things,10269036,2023-12-08
The Nightmare Before Christmas30th Anniversary Re-Release,10251956,2023-10-20
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,2023-03-03
House Party,9002247,2023-01-13
Radical,8636299,2023-11-03
Salaar,8268997,2023-12-22
Silent Night,7996185,2023-12-01
Beau Is Afraid,7740323,2023-04-14
The Hill,7665865,2023-08-25
Sisu,7265622,2023-04-28
Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,2023-04-28
Everything Everywhere All at Once,7183197,2023-03-25
Dunki,7160815,2023-12-21
Coraline2023 Re-release (remastered),7149366,2023-08-14
Retribution,6937696,2023-08-25
Journey to Bethlehem,6816475,2023-11-10
Next Goal Wins,6713826,2023-11-17
Operation Fortune: Ruse de Guerre,6496125,2023-03-03
BTS: Yet to Come in Cinemas,6350496,2023-02-01
Babylon,6268558,2023-12-23
Love Again,6230837,2023-05-05
Dream Scenario,5615011,2023-11-10
The Fabelmans,5541550,2023-11-11
The Chosen Season 3 Finale,5525069,2023-02-02
Nefarious,5433685,2023-04-14
Big George Foreman,5426772,2023-04-28
Waitress: The Musical,5402148,2023-12-07
Tiger 3,5365263,2023-11-11
Women Talking,5321627,2023-12-23
Freelance,5314136,2023-10-27
Infinity Pool,5078400,2023-01-27
Hocus Pocus30th Anniversary re-release,4929004,2023-10-06
You Hurt My Feelings,4830788,2023-05-26
Kandahar,4813132,2023-05-26
Golda,4801781,2023-08-25
It Lives Inside,4675092,2023-09-22
Hypnotic,4500169,2023-05-12
Stop Making Sense2023  Re-release,4481445,2023-09-22
Marlowe,4350243,2023-02-15
The Amazing Maurice,4303645,2023-02-03
Mummies,4275970,2023-02-24
Theater Camp,4009945,2023-07-14
Ponniyin Selvan: Part Two,3813000,2023-04-28
Anatomy of a Fall,3742039,2023-10-13
Left Behind: Rise of the Antichrist,3649422,2023-01-26
The Journey: A Music Special from Andrea Bocelli,3574915,2023-04-02
Chevalier,3541159,2023-04-21
Mafia Mamma,3496761,2023-04-14
The Wandering Earth II,3444487,2023-01-22
A Thousand and One,3400020,2023-03-31
Violent Night,3278955,2023-12-02
What Happens Later,3273895,2023-11-03
2023 Oscar Nominated Short Films: Live Action,3025631,2023-02-17
Living,2984305,2023-12-23
Jurassic Park2023 Re-release (30th Anniversary),2970355,2023-08-25
The Menu,2779574,2023-11-18
Tu Jhoothi Main Makkaar,2503604,2023-03-08
Come Out in Jesus Name,2500574,2023-03-13
The Miracle Club,2377438,2023-07-14
A Good Person,2210465,2023-03-24
Moving On,2136832,2023-03-17
Skinamarink,2052272,2023-01-13
Die Hard2023 Re-release,2048453,2023-12-08
Jules,1924922,2023-08-11
Somewhere in Queens,1802442,2023-04-21
The Marsh King's Daughter,1792905,2023-11-03
Oldboy2023 Re-release,1750719,2023-08-16
Winnie-the-Pooh: Blood and Honey,1750639,2023-02-15
Fear,1735359,2023-01-27
Lost in the Stars,1721446,2023-07-07
Creation of the Gods I: Kingdom of Storms,1686246,2023-09-22
American Fiction,1655483,2023-12-15
The Retirement Plan,1607344,2023-09-15
Polite Society,1595585,2023-04-28
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,2023-01-20
