Movie,avg_sentiment,total_words
Broker,3,2
The Journey: A Music Special from Andrea Bocelli,2.75,8
Back to the Future,2.5,6
Living,2.2994350282485874,177
About My Father,2.132596685082873,181
Air,2.108695652173913,230
The Hill,2.0955414012738856,157
Champions,2.093137254901961,204
Theater Camp,2.089655172413793,145
Jules,2.087719298245614,228
Ponniyin Selvan: Part Two,2.0652173913043477,92
Book Club: The Next Chapter,2.05,200
Maybe I Do,2.04320987654321,162
The Nun II,2.014705882352941,204
Suzume,2,69
You Hurt My Feelings,1.9714285714285715,175
Somewhere in Queens,1.9593023255813953,172
A Haunting in Venice,1.94331983805668,247
Blue Beetle,1.936241610738255,298
Journey to Bethlehem,1.9285714285714286,294
My Big Fat Greek Wedding 3,1.9207920792079207,202
The Miracle Club,1.9013157894736843,152
What Happens Later,1.8991596638655461,238
Polite Society,1.8962264150943395,212
The Creator,1.896,250
The Marsh King's Daughter,1.8936170212765957,141
The Boys in the Boat,1.8686131386861313,274
Fast X,1.8657407407407407,216
Jawan,1.8397435897435896,156
Asteroid City,1.828125,192
Saltburn,1.8251121076233183,223
Shazam! Fury of the Gods,1.8244897959183672,245
Renaissance: A Film by Beyoncé,1.8170731707317074,164
Elemental,1.8096774193548386,310
Creation of the Gods I: Kingdom of Storms,1.8074866310160427,187
The Holdovers,1.8055555555555556,252
The Menu,1.7984496124031009,258
Billie Eilish Live at the O2,1.7979274611398963,193
"Are You There God? It's Me, Margaret.",1.7906137184115523,277
Love Again,1.7746478873239437,284
Avatar: The Way of Water,1.7651515151515151,264
Camp Hideout,1.7586206896551724,87
American Fiction,1.7570422535211268,284
Showing Up,1.7532467532467533,154
Spirited Away2023 Re-release (Live on Stage),1.7341772151898733,158
Star Wars: Episode VI - Return of the Jedi2023 Re-release,1.7314049586776858,242
Next Goal Wins,1.7282051282051283,195
Mission: Impossible - Dead Reckoning Part One,1.7244897959183674,196
The Color Purple,1.7226890756302522,238
A Good Person,1.6942148760330578,242
The Fabelmans,1.6917808219178083,292
Barbie,1.6851063829787234,235
Renfield,1.6782608695652175,230
The Lost King,1.6736842105263159,95
Tár,1.6724137931034482,232
Insidious: The Red Door,1.6682464454976302,211
The Covenant,1.667883211678832,274
Spider-Man: Across the Spider-Verse,1.6641509433962265,265
Lost in the Stars,1.6629213483146068,89
Babylon,1.6543778801843319,217
Ant-Man and the Wasp: Quantumania,1.6542553191489362,188
Dungeons & Dragons: Honor Among Thieves,1.6514657980456027,307
The Little Mermaid,1.6503067484662577,163
Magic Mike's Last Dance,1.6414141414141414,198
Dunki,1.6358024691358024,162
Joy Ride,1.6205357142857142,224
Kandahar,1.6174496644295302,149
Wonka,1.6166666666666667,240
Tu Jhoothi Main Makkaar,1.6066666666666667,150
Gran Turismo,1.6059479553903346,269
The Big Lebowski,1.598360655737705,122
BlackBerry,1.5919282511210762,223
The Chosen Season 3 Finale,1.5782747603833867,313
Missing,1.5691056910569106,246
Poor Things,1.5689149560117301,341
Titanic25 Year Anniversary,1.5555555555555556,216
Teenage Mutant Ninja Turtles: Mutant Mayhem,1.5436893203883495,206
Dream Scenario,1.5402298850574712,261
Marlowe,1.5389610389610389,154
The Expendables 4,1.5380434782608696,184
The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1.5355648535564854,239
Killers of the Flower Moon,1.5333333333333334,195
The Banshees of Inisherin,1.525179856115108,278
Guardians of the Galaxy Vol. 3,1.5238095238095237,189
Operation Fortune: Ruse de Guerre,1.5224719101123596,178
Tiger 3,1.5192307692307692,104
Meg 2: The Trench,1.516260162601626,246
Oppenheimer,1.5074074074074073,270
No Hard Feelings,1.5040650406504066,246
Five Nights at Freddy's,1.494809688581315,289
A Thousand and One,1.4936170212765958,235
The First Slam Dunk,1.4915254237288136,118
The Boy and the Heron,1.4880239520958083,334
Anyone But You,1.4823008849557522,226
Priscilla,1.4769874476987448,239
Knights of the Zodiac,1.458762886597938,194
Jesus Revolution,1.4523809523809523,420
Stop Making Sense2023  Re-release,1.4489795918367347,49
The Equalizer 3,1.445578231292517,294
Taylor Swift: The Eras Tour,1.44,225
The Quiet Girl,1.4321428571428572,280
The Blackening,1.4317180616740088,227
Waitress: The Musical,1.4177215189873418,79
65,1.413953488372093,215
Whitney Houston: I Wanna Dance with Somebody,1.408450704225352,284
Hypnotic,1.4059405940594059,202
